"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2026/05/14","FINGR","ONE","ZFW","2025/11/27","N","FINGR.FINGR1","ADS DAL DFW F41 F46 HQZ JWY LNC RBD TKI"
"2026/05/14","HIBIL","THREE","ZFW","2016/03/31","Y","FINGR.HIBIL3","DAL"
"2026/05/14","SLANT","THREE","ZFW","2016/03/31","Y","FINGR.SLANT3","ADS F41 F46 HQZ JWY LNC RBD TKI"
"2026/05/14","FISSK","SEVEN","ZAU","2025/06/12","Y","FISSK.FISSK7","MDW"
"2026/05/14","FLATI","FIVE","ZDV","2025/06/12","Y","FLATI.FLATI5","DEN"
"2026/05/14","FLCHR","ONE","ZLA","2021/02/25","Y","FLCHR.FLCHR1","VGT"
"2026/05/14","STOCR","FIVE","ZTL","2026/05/14","Y","FLLGG.STOCR5","CLT"
"2026/05/14","FLOSI","FOUR","ZNY","2019/12/05","Y","FLOSI.FLOSI4","EWR"
"2026/05/14","FNLEE","ONE","ZAU","2024/01/25","Y","FNLEE.FNLEE1","RFD"
"2026/05/14","FNTSY","ONE","ZMA","2024/10/31","Y","FNTSY.FNTSY1","EYW NQX"
"2026/05/14","FOREY","TWO","ZOB","2019/10/10","Y","FOREY.FOREY2","ARB CYQG DET FNT MTC ONZ OZW PTK TTF VLL YIP"
"2026/05/14","FORTL","NINE","ZMA","2021/12/02","N","FORTL.FORTL9","FLL FXE HWO OPF PMP"
"2026/05/14","FOWEE","TWO","ZMA","2021/12/02","N","FOWEE.FOWEE2","07FA HST MIA TMB X51"
"2026/05/14","WILLIAMSPORT","THREE","ZNY","2012/05/31","N","FQM.FQM3","EWR"
"2026/05/14","FRIHO","FOUR","ZAB","2006/04/13","N","FRIHO.FRIHO4","ABQ AEG"
"2026/05/14","FRLON","TWO","ZOA","2016/07/21","Y","FRLON.FRLON2","SJC"
"2026/05/14","FROGZ","FIVE","ZMA","2026/03/19","Y","FROGZ.FROGZ5","07FA HST MIA TMB X51"
"2026/05/14","DEBERRY","FIVE","ZDV","2022/07/14","N","FSHER.DBRY5","COS"
"2026/05/14","KUSTR","THREE","ZLC","2018/09/13","Y","FSYTH.KUSTR3","BIL"
"2026/05/14","FYTTE","SEVEN","ZAU","2021/06/17","Y","FYTTE.FYTTE7","ORD"
"2026/05/14","GABOO","ONE","ZHU","2020/07/16","Y","GABOO.GABOO1","3R9 HYI RYW T74"
"2026/05/14","SEWZY","SIX","ZHU","2021/04/22","Y","GABOO.SEWZY6","AUS"
"2026/05/14","DREEM","THREE","ZBW","2025/11/27","Y","GASSE.DREEM3","BED BVY LWM"
"2026/05/14","GAVNN","EIGHT","ZID","2026/01/22","Y","GAVNN.GAVNN8","CVG HAO I69 LUK"
"2026/05/14","GOPHER","ONE","ZMP","2017/08/17","N","GEP.GEP1","ANE FCM LVN MIC MSP STP"
"2026/05/14","CCASH","ONE","ZFW","2014/07/24","Y","GHOST.CCASH1","OUN PWA TIK"
"2026/05/14","GHOST","THREE","ZFW","2017/12/07","Y","GHOST.GHOST3","OKC"
"2026/05/14","GIBBZ","FIVE","ZDC","2024/03/21","Y","GIBBZ.GIBBZ5","HEF IAD JYO"
"2026/05/14","GIIBS","FOUR","ZID","2024/07/11","Y","GIIBS.GIIBS4","IND"
"2026/05/14","GLASR","THREE","ZSE","2024/01/25","N","GLASR.GLASR3","BFI RNT SEA TCM"
"2026/05/14","GLAVN","TWO","ZTL","2025/11/27","Y","GLAVN.GLAVN2","ATL"
"2026/05/14","HTOWN","THREE","ZHU","2023/10/05","Y","GMANN.HTOWN3","IAH"
"2026/05/14","TEJAS","FIVE","ZHU","2023/10/05","Y","GMANN.TEJAS5","IAH"
"2026/05/14","GNDLF","THREE","ZTL","2025/11/27","Y","GNDLF.GNDLF3","ATL"
"2026/05/14","GOATZ","TWO","ZLA","2024/12/26","Y","GOATZ.GOATZ2","LAX"
"2026/05/14","KARLB","THREE","ZLA","2023/04/20","Y","GOATZ.KARLB3","ONT"
"2026/05/14","GOPAC","THREE","ZAU","2023/06/15","Y","GOPAC.GOPAC3","57C BUU ENW ETB HXF MKE MWC PWK RAC UES UGN"
"2026/05/14","HAYNZ","SEVEN","ZOB","2021/02/25","Y","GRACE.HAYNZ7","PIT"
